net_profit,net_pct,max_dd_pct,win_rate,sharpe,profit_factor,trades,largest_loss,leverage,capital_pct,max_trades,max_drawdown_pct,target_goal_value
57.34174992857935,24.50502133699972,12.109736574116594,61.53846153846154,6.722205440235011,2.04269652500837,26,-18.952930726092035,5,15,3,10,18
86.9084987413564,37.14038407750274,10.619514981837579,66.66666666666666,7.211015835631859,2.410690150675901,27,-15.0034595851716,5,15,3,10,12
49.840187790197334,21.299225551366384,12.10830562742393,61.53846153846154,6.581928378390851,1.9303481077987046,26,-18.468917710237534,5,15,3,10,15
134.6931350401248,57.561168820566145,4.695374014109117,69.23076923076923,11.680868874329432,4.920478263393716,26,-12.545108312858009,5,15,3,12,12
42.99652432673828,18.37458304561465,13.818398740672478,66.66666666666666,5.144913775501075,1.6819614755690586,24,-21.43357716380748,5,15,3,12,15
50.3307692697121,21.50887575628722,13.814793907906392,66.66666666666666,5.485865037860447,1.777813644816899,24,-21.99528470327278,5,15,3,12,18
134.6931350401248,57.561168820566145,4.695374014109117,69.23076923076923,11.680868874329432,4.920478263393716,26,-12.545108312858009,5,15,3,100,12
45.0592903409294,19.256106983303162,13.746475103560535,66.66666666666666,5.04152658345918,1.6800046832597726,24,-18.95663686925249,5,15,3,100,15
52.518079854200494,22.44362386931645,13.743762698426432,66.66666666666666,5.410264880743918,1.7721690694111274,24,-19.45343149065359,5,15,3,100,18
128.6746669981613,54.98917393083816,10.636458587949434,68.75,9.94605067928939,3.0770043831607343,32,-15.0034595851716,5,15,4,10,12
32.29705557440343,13.802160501881808,18.80062139186094,58.620689655172406,3.9096338881828676,1.410934664566487,29,-18.80008451055903,5,15,4,10,15
39.316530550720834,16.801936132786683,18.8052357901752,58.620689655172406,4.312105644526211,1.4872747361595449,29,-19.309571895669034,5,15,4,10,18
133.23432686932932,56.93774652535441,4.695374014109117,67.85714285714286,11.561243297746376,4.649335807648478,28,-12.462332671497508,5,15,4,12,12
54.333422252596556,23.219411219058358,13.809746101059508,69.23076923076923,5.982367343182287,1.8430189763244926,26,-21.817903375020578,5,15,4,12,15
61.92869796346917,26.46525553994409,13.814884174872772,69.23076923076923,6.220822103707441,1.9359366348402993,26,-22.40917446919458,5,15,4,12,18
133.23432686932932,56.93774652535441,4.695374014109117,67.85714285714286,11.561243297746376,4.649335807648478,28,-12.462332671497508,5,15,4,100,12
100.554656956921,42.972075622615804,13.755274412604933,70.37037037037037,8.759658641610974,2.698089077621709,27,-19.29654897863219,5,15,4,100,15
115.98086707586174,49.56447310934262,13.759742546357817,74.07407407407408,9.101430961586276,3.069941515804302,27,-19.81949068537019,5,15,4,100,18
119.67840488637273,51.14461747280886,10.760055683050942,66.66666666666666,7.727289248796105,2.617344606796574,27,-20.33367533476603,5,18,3,10,15
122.41342478134897,52.31342939373887,12.133895167270971,69.6969696969697,7.741664730009986,2.1503541412285294,33,-25.73559401539001,5,18,3,10,12
59.08344182998886,25.249334115379853,14.883898323734357,62.96296296296296,6.027112529732047,1.680370099572086,27,-19.14829622065194,5,18,3,10,18
111.82246173894266,47.78737681151396,12.72924219373161,66.66666666666666,7.263252907664156,2.391230798161086,27,-19.616203555403246,5,18,3,12,15
116.05500211791282,49.596154751244796,14.041524928024721,70.0,7.377547552689174,2.130634361321738,30,-28.750815067565707,5,18,3,12,12
59.54373891329037,25.44604227063691,14.490039583444178,61.53846153846154,6.525669187932807,1.8892533299872616,26,-23.258099130271543,5,18,3,12,18
62.346330903345155,26.643731155275706,34.44690911856215,80.0,4.6679989516426375,1.3326252126990734,30,-70.98658852459636,5,18,3,100,12
175.4098814078157,74.96148778111782,5.589526838688205,69.23076923076923,11.34290519207936,4.881633510691591,26,-16.685729839579913,5,18,3,100,15
53.170056581835645,22.722246402493866,16.47907050356218,66.66666666666666,5.056012241400127,1.640264657947585,24,-23.87228891258969,5,18,3,100,18
171.04821273062603,73.09752680795984,13.641118127702576,71.875,10.203399699368003,3.1424434353476207,32,-26.244837374200007,5,18,4,10,12
